Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
09/30/2006,2006Q3,6,Private Industries,Mining,337
09/30/2006,2006Q3,10,Private Industries,Utilities,2546
09/30/2006,2006Q3,11,Private Industries,Construction,5375
09/30/2006,2006Q3,12,Private Industries,Manufacturing,26244
09/30/2006,2006Q3,34,Private Industries,Wholesale trade,7036
09/30/2006,2006Q3,35,Private Industries,Retail trade,7492
09/30/2006,2006Q3,36,Private Industries,Transportation and warehousing,4656
09/30/2006,2006Q3,45,Private Industries,Information,4466
09/30/2006,2006Q3,51,Private Industries,Finance and insurance,15144
09/30/2006,2006Q3,56,Private Industries,Real estate and rental and leasing,11880
09/30/2006,2006Q3,60,Private Industries,"Professional, scientific, and technical services",3462
09/30/2006,2006Q3,64,Private Industries,Management of companies and enterprises,1215
09/30/2006,2006Q3,65,Private Industries,Administrative and waste management services,2442
09/30/2006,2006Q3,69,Private Industries,Educational services,1050
09/30/2006,2006Q3,70,Private Industries,Health care and social assistance,8509
09/30/2006,2006Q3,75,Private Industries,"Arts, entertainment, and recreation",883
09/30/2006,2006Q3,78,Private Industries,Accommodation and food services,2541
09/30/2006,2006Q3,81,Private Industries,"Other services, except government",2778
09/30/2006,2006Q3,82,Government,Government,14776
12/31/2006,2006Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5283
12/31/2006,2006Q4,6,Private Industries,Mining,312
12/31/2006,2006Q4,10,Private Industries,Utilities,2537
12/31/2006,2006Q4,11,Private Industries,Construction,5435
12/31/2006,2006Q4,12,Private Industries,Manufacturing,25841
12/31/2006,2006Q4,34,Private Industries,Wholesale trade,7032
12/31/2006,2006Q4,35,Private Industries,Retail trade,7439
12/31/2006,2006Q4,36,Private Industries,Transportation and warehousing,4789
12/31/2006,2006Q4,45,Private Industries,Information,4231
12/31/2006,2006Q4,51,Private Industries,Finance and insurance,17129
12/31/2006,2006Q4,56,Private Industries,Real estate and rental and leasing,12291
12/31/2006,2006Q4,60,Private Industries,"Professional, scientific, and technical services",3529
12/31/2006,2006Q4,64,Private Industries,Management of companies and enterprises,1241
12/31/2006,2006Q4,65,Private Industries,Administrative and waste management services,2496
12/31/2006,2006Q4,69,Private Industries,Educational services,1070
12/31/2006,2006Q4,70,Private Industries,Health care and social assistance,8636
12/31/2006,2006Q4,75,Private Industries,"Arts, entertainment, and recreation",871
12/31/2006,2006Q4,78,Private Industries,Accommodation and food services,2586
12/31/2006,2006Q4,81,Private Industries,"Other services, except government",2777
12/31/2006,2006Q4,82,Government,Government,14809
03/31/2007,2007Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6492
03/31/2007,2007Q1,6,Private Industries,Mining,364
03/31/2007,2007Q1,10,Private Industries,Utilities,2822
03/31/2007,2007Q1,11,Private Industries,Construction,5614
03/31/2007,2007Q1,12,Private Industries,Manufacturing,25424
03/31/2007,2007Q1,34,Private Industries,Wholesale trade,7137
03/31/2007,2007Q1,35,Private Industries,Retail trade,7442
03/31/2007,2007Q1,36,Private Industries,Transportation and warehousing,4628
03/31/2007,2007Q1,45,Private Industries,Information,4417
03/31/2007,2007Q1,51,Private Industries,Finance and insurance,18804
03/31/2007,2007Q1,56,Private Industries,Real estate and rental and leasing,12308
03/31/2007,2007Q1,60,Private Industries,"Professional, scientific, and technical services",3641
03/31/2007,2007Q1,64,Private Industries,Management of companies and enterprises,1297
03/31/2007,2007Q1,65,Private Industries,Administrative and waste management services,2593
03/31/2007,2007Q1,69,Private Industries,Educational services,1072
03/31/2007,2007Q1,70,Private Industries,Health care and social assistance,8591
03/31/2007,2007Q1,75,Private Industries,"Arts, entertainment, and recreation",1129
