Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
09/30/2015,2015Q3,69,Private Industries,Educational services,1355
09/30/2015,2015Q3,70,Private Industries,Health care and social assistance,11780
09/30/2015,2015Q3,75,Private Industries,"Arts, entertainment, and recreation",1092
09/30/2015,2015Q3,78,Private Industries,Accommodation and food services,3863
09/30/2015,2015Q3,81,Private Industries,"Other services, except government",3620
09/30/2015,2015Q3,82,Government,Government,20272
12/31/2015,2015Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",9320
12/31/2015,2015Q4,6,Private Industries,Mining,348
12/31/2015,2015Q4,10,Private Industries,Utilities,2689
12/31/2015,2015Q4,11,Private Industries,Construction,7856
12/31/2015,2015Q4,12,Private Industries,Manufacturing,34495
12/31/2015,2015Q4,34,Private Industries,Wholesale trade,10154
12/31/2015,2015Q4,35,Private Industries,Retail trade,9666
12/31/2015,2015Q4,36,Private Industries,Transportation and warehousing,5833
12/31/2015,2015Q4,45,Private Industries,Information,4288
12/31/2015,2015Q4,51,Private Industries,Finance and insurance,26616
12/31/2015,2015Q4,56,Private Industries,Real estate and rental and leasing,17648
12/31/2015,2015Q4,60,Private Industries,"Professional, scientific, and technical services",5438
12/31/2015,2015Q4,64,Private Industries,Management of companies and enterprises,2280
12/31/2015,2015Q4,65,Private Industries,Administrative and waste management services,3499
12/31/2015,2015Q4,69,Private Industries,Educational services,1375
12/31/2015,2015Q4,70,Private Industries,Health care and social assistance,11977
12/31/2015,2015Q4,75,Private Industries,"Arts, entertainment, and recreation",1118
12/31/2015,2015Q4,78,Private Industries,Accommodation and food services,3919
12/31/2015,2015Q4,81,Private Industries,"Other services, except government",3740
12/31/2015,2015Q4,82,Government,Government,20606
03/31/2016,2016Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8795
03/31/2016,2016Q1,6,Private Industries,Mining,285
03/31/2016,2016Q1,10,Private Industries,Utilities,3032
03/31/2016,2016Q1,11,Private Industries,Construction,8481
03/31/2016,2016Q1,12,Private Industries,Manufacturing,33361
03/31/2016,2016Q1,34,Private Industries,Wholesale trade,10115
03/31/2016,2016Q1,35,Private Industries,Retail trade,9729
03/31/2016,2016Q1,36,Private Industries,Transportation and warehousing,5788
03/31/2016,2016Q1,45,Private Industries,Information,3993
03/31/2016,2016Q1,51,Private Industries,Finance and insurance,26221
03/31/2016,2016Q1,56,Private Industries,Real estate and rental and leasing,17643
03/31/2016,2016Q1,60,Private Industries,"Professional, scientific, and technical services",5575
03/31/2016,2016Q1,64,Private Industries,Management of companies and enterprises,2309
03/31/2016,2016Q1,65,Private Industries,Administrative and waste management services,3477
03/31/2016,2016Q1,69,Private Industries,Educational services,1511
03/31/2016,2016Q1,70,Private Industries,Health care and social assistance,12090
03/31/2016,2016Q1,75,Private Industries,"Arts, entertainment, and recreation",1136
03/31/2016,2016Q1,78,Private Industries,Accommodation and food services,4034
03/31/2016,2016Q1,81,Private Industries,"Other services, except government",3816
03/31/2016,2016Q1,82,Government,Government,20694
06/30/2016,2016Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",9335
06/30/2016,2016Q2,6,Private Industries,Mining,325
06/30/2016,2016Q2,10,Private Industries,Utilities,3115
06/30/2016,2016Q2,11,Private Industries,Construction,8427
06/30/2016,2016Q2,12,Private Industries,Manufacturing,32741
06/30/2016,2016Q2,34,Private Industries,Wholesale trade,10318
06/30/2016,2016Q2,35,Private Industries,Retail trade,9979
06/30/2016,2016Q2,36,Private Industries,Transportation and warehousing,5883
06/30/2016,2016Q2,45,Private Industries,Information,4088
06/30/2016,2016Q2,51,Private Industries,Finance and insurance,27390
06/30/2016,2016Q2,56,Private Industries,Real estate and rental and leasing,17948
06/30/2016,2016Q2,60,Private Industries,"Professional, scientific, and technical services",5718
06/30/2016,2016Q2,64,Private Industries,Management of companies and enterprises,2244
06/30/2016,2016Q2,65,Private Industries,Administrative and waste management services,3526
06/30/2016,2016Q2,69,Private Industries,Educational services,1500
06/30/2016,2016Q2,70,Private Industries,Health care and social assistance,12337
06/30/2016,2016Q2,75,Private Industries,"Arts, entertainment, and recreation",1160
06/30/2016,2016Q2,78,Private Industries,Accommodation and food services,4027
06/30/2016,2016Q2,81,Private Industries,"Other services, except government",3837
06/30/2016,2016Q2,82,Government,Government,20865
09/30/2016,2016Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8978
09/30/2016,2016Q3,6,Private Industries,Mining,331
09/30/2016,2016Q3,10,Private Industries,Utilities,3095
09/30/2016,2016Q3,11,Private Industries,Construction,8582
09/30/2016,2016Q3,12,Private Industries,Manufacturing,33063
09/30/2016,2016Q3,34,Private Industries,Wholesale trade,10339
09/30/2016,2016Q3,35,Private Industries,Retail trade,10033
09/30/2016,2016Q3,36,Private Industries,Transportation and warehousing,5937
09/30/2016,2016Q3,45,Private Industries,Information,4123
09/30/2016,2016Q3,51,Private Industries,Finance and insurance,29266
09/30/2016,2016Q3,56,Private Industries,Real estate and rental and leasing,18339
09/30/2016,2016Q3,60,Private Industries,"Professional, scientific, and technical services",5788
09/30/2016,2016Q3,64,Private Industries,Management of companies and enterprises,2174
09/30/2016,2016Q3,65,Private Industries,Administrative and waste management services,3576
09/30/2016,2016Q3,69,Private Industries,Educational services,1534
09/30/2016,2016Q3,70,Private Industries,Health care and social assistance,12453
09/30/2016,2016Q3,75,Private Industries,"Arts, entertainment, and recreation",1152
09/30/2016,2016Q3,78,Private Industries,Accommodation and food services,4076
09/30/2016,2016Q3,81,Private Industries,"Other services, except government",3848
09/30/2016,2016Q3,82,Government,Government,21064
12/31/2016,2016Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8838
12/31/2016,2016Q4,6,Private Industries,Mining,334
12/31/2016,2016Q4,10,Private Industries,Utilities,3305
12/31/2016,2016Q4,11,Private Industries,Construction,8506
12/31/2016,2016Q4,12,Private Industries,Manufacturing,32902
12/31/2016,2016Q4,34,Private Industries,Wholesale trade,10482
12/31/2016,2016Q4,35,Private Industries,Retail trade,10143
12/31/2016,2016Q4,36,Private Industries,Transportation and warehousing,5948
12/31/2016,2016Q4,45,Private Industries,Information,4078
12/31/2016,2016Q4,51,Private Industries,Finance and insurance,31140
12/31/2016,2016Q4,56,Private Industries,Real estate and rental and leasing,18609
12/31/2016,2016Q4,60,Private Industries,"Professional, scientific, and technical services",5824
12/31/2016,2016Q4,64,Private Industries,Management of companies and enterprises,2192
12/31/2016,2016Q4,65,Private Industries,Administrative and waste management services,3659
12/31/2016,2016Q4,69,Private Industries,Educational services,1515
12/31/2016,2016Q4,70,Private Industries,Health care and social assistance,12604
12/31/2016,2016Q4,75,Private Industries,"Arts, entertainment, and recreation",1167
12/31/2016,2016Q4,78,Private Industries,Accommodation and food services,4104
12/31/2016,2016Q4,81,Private Industries,"Other services, except government",3828
12/31/2016,2016Q4,82,Government,Government,21022
03/31/2017,2017Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",9978
03/31/2017,2017Q1,6,Private Industries,Mining,352
03/31/2017,2017Q1,10,Private Industries,Utilities,3005
03/31/2017,2017Q1,11,Private Industries,Construction,8236
03/31/2017,2017Q1,12,Private Industries,Manufacturing,33339
03/31/2017,2017Q1,34,Private Industries,Wholesale trade,10717
03/31/2017,2017Q1,35,Private Industries,Retail trade,10174
03/31/2017,2017Q1,36,Private Industries,Transportation and warehousing,5901
03/31/2017,2017Q1,45,Private Industries,Information,3916
03/31/2017,2017Q1,51,Private Industries,Finance and insurance,29150
03/31/2017,2017Q1,56,Private Industries,Real estate and rental and leasing,18240
03/31/2017,2017Q1,60,Private Industries,"Professional, scientific, and technical services",5938
03/31/2017,2017Q1,64,Private Industries,Management of companies and enterprises,2251
03/31/2017,2017Q1,65,Private Industries,Administrative and waste management services,3633
03/31/2017,2017Q1,69,Private Industries,Educational services,1540
03/31/2017,2017Q1,70,Private Industries,Health care and social assistance,12440
03/31/2017,2017Q1,75,Private Industries,"Arts, entertainment, and recreation",1154
03/31/2017,2017Q1,78,Private Industries,Accommodation and food services,4133
03/31/2017,2017Q1,81,Private Industries,"Other services, except government",3800
03/31/2017,2017Q1,82,Government,Government,21230
06/30/2017,2017Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",9195
06/30/2017,2017Q2,6,Private Industries,Mining,360
06/30/2017,2017Q2,10,Private Industries,Utilities,3504
06/30/2017,2017Q2,11,Private Industries,Construction,7756
06/30/2017,2017Q2,12,Private Industries,Manufacturing,33646
06/30/2017,2017Q2,34,Private Industries,Wholesale trade,10551
06/30/2017,2017Q2,35,Private Industries,Retail trade,10253
06/30/2017,2017Q2,36,Private Industries,Transportation and warehousing,6095
06/30/2017,2017Q2,45,Private Industries,Information,4127
06/30/2017,2017Q2,51,Private Industries,Finance and insurance,29592
06/30/2017,2017Q2,56,Private Industries,Real estate and rental and leasing,18971
06/30/2017,2017Q2,60,Private Industries,"Professional, scientific, and technical services",5956
06/30/2017,2017Q2,64,Private Industries,Management of companies and enterprises,2304
06/30/2017,2017Q2,65,Private Industries,Administrative and waste management services,3727
06/30/2017,2017Q2,69,Private Industries,Educational services,1505
06/30/2017,2017Q2,70,Private Industries,Health care and social assistance,13029
06/30/2017,2017Q2,75,Private Industries,"Arts, entertainment, and recreation",1195
06/30/2017,2017Q2,78,Private Industries,Accommodation and food services,4130
06/30/2017,2017Q2,81,Private Industries,"Other services, except government",3860
06/30/2017,2017Q2,82,Government,Government,21167
09/30/2017,2017Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8156
09/30/2017,2017Q3,6,Private Industries,Mining,349
09/30/2017,2017Q3,10,Private Industries,Utilities,3002
09/30/2017,2017Q3,11,Private Industries,Construction,7785
09/30/2017,2017Q3,12,Private Industries,Manufacturing,34878
09/30/2017,2017Q3,34,Private Industries,Wholesale trade,10823
09/30/2017,2017Q3,35,Private Industries,Retail trade,10281
09/30/2017,2017Q3,36,Private Industries,Transportation and warehousing,6102
09/30/2017,2017Q3,45,Private Industries,Information,4076
09/30/2017,2017Q3,51,Private Industries,Finance and insurance,28662
09/30/2017,2017Q3,56,Private Industries,Real estate and rental and leasing,18868
09/30/2017,2017Q3,60,Private Industries,"Professional, scientific, and technical services",6007
09/30/2017,2017Q3,64,Private Industries,Management of companies and enterprises,2142
09/30/2017,2017Q3,65,Private Industries,Administrative and waste management services,3749
09/30/2017,2017Q3,69,Private Industries,Educational services,1505
09/30/2017,2017Q3,70,Private Industries,Health care and social assistance,12633
09/30/2017,2017Q3,75,Private Industries,"Arts, entertainment, and recreation",1169
09/30/2017,2017Q3,78,Private Industries,Accommodation and food services,4208
09/30/2017,2017Q3,81,Private Industries,"Other services, except government",3822
09/30/2017,2017Q3,82,Government,Government,21425
12/31/2017,2017Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7151
12/31/2017,2017Q4,6,Private Industries,Mining,389
12/31/2017,2017Q4,10,Private Industries,Utilities,3065
12/31/2017,2017Q4,11,Private Industries,Construction,7795
12/31/2017,2017Q4,12,Private Industries,Manufacturing,36005
12/31/2017,2017Q4,34,Private Industries,Wholesale trade,10992
12/31/2017,2017Q4,35,Private Industries,Retail trade,10376
12/31/2017,2017Q4,36,Private Industries,Transportation and warehousing,6202
12/31/2017,2017Q4,45,Private Industries,Information,4054
12/31/2017,2017Q4,51,Private Industries,Finance and insurance,28759
12/31/2017,2017Q4,56,Private Industries,Real estate and rental and leasing,19198
12/31/2017,2017Q4,60,Private Industries,"Professional, scientific, and technical services",6054
12/31/2017,2017Q4,64,Private Industries,Management of companies and enterprises,2188
12/31/2017,2017Q4,65,Private Industries,Administrative and waste management services,3783
12/31/2017,2017Q4,69,Private Industries,Educational services,1501
12/31/2017,2017Q4,70,Private Industries,Health care and social assistance,12771
12/31/2017,2017Q4,75,Private Industries,"Arts, entertainment, and recreation",1129
12/31/2017,2017Q4,78,Private Industries,Accommodation and food services,4293
12/31/2017,2017Q4,81,Private Industries,"Other services, except government",3832
12/31/2017,2017Q4,82,Government,Government,21534
